WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,target
-64,-100,-59,-100,-69,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-53,-100,-41,-100,-100,-55,-100,-100,-100,-100,-100,-70,-100,-100,-74,-100,-100,-100,-100,10
-67,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,13
-66,-100,-55,-100,-100,-100,-100,-74,-100,-100,-100,-63,-75,-100,-100,-100,-100,-100,-100,13
-70,-85,-66,-78,-77,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-51,-100,-45,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,10
-55,-100,-51,-100,-100,-100,-100,-50,-100,-100,-100,-100,-77,-55,-69,-100,-100,-100,-100,11
-42,-100,-39,-67,-100,-53,-62,-66,-100,-100,-68,-74,-100,-100,-100,-100,-100,-100,-100,9
-61,-77,-63,-70,-70,-100,-69,-73,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,7
-41,-100,-55,-100,-100,-49,-56,-62,-100,-100,-59,-100,-100,-72,-100,-100,-100,-100,-100,9
-43,-100,-44,-100,-100,-50,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,9
-70,-84,-70,-100,-75,-73,-79,-100,-100,-100,-78,-100,-100,-100,-100,-78,-100,-100,-100,8
-57,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,13
-54,-100,-54,-46,-100,-56,-48,-100,-100,-100,-100,-100,-62,-66,-100,-100,-100,-100,-100,11
-72,-90,-80,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-64,-100,-61,-100,-100,-100,-100,-74,-100,-100,-74,-39,-65,-100,-100,-100,-100,-100,-100,12
-68,-100,-59,-43,-100,-59,-44,-43,-100,-100,-44,-100,-100,-59,-100,-100,-100,-100,-100,11
-48,-100,-48,-56,-100,-59,-100,-55,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,9
-72,-100,-79,-100,-84,-75,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
