,STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
21,-55,-45,-57,-55,-57,-59,8
22,-55,-43,-65,-55,-66,-65,8
23,-55,-46,-62,-62,-61,-61,8
24,-55,-43,-59,-62,-61,-59,8
25,-55,-45,-68,-70,-69,-70,8
26,-55,-50,-68,-70,-69,-68,8
27,-55,-52,-58,-57,-55,-60,8
28,-54,-48,-61,-57,-58,-57,8
29,-54,-49,-61,-72,-66,-57,8
30,-54,-46,-61,-72,-68,-68,8
31,-54,-56,-66,-67,-67,-68,8
32,-47,-55,-65,-63,-62,-68,8
0,0,-37,-63,-63,-62,-61,9
1,0,-42,-64,-65,-65,-64,9
2,0,-34,-60,-62,-58,-64,9
3,0,-45,-57,-57,-57,-57,9
4,0,-37,-57,-57,-55,-56,9
5,0,-41,-57,-57,-55,-56,9
6,0,-47,-61,-63,-60,-62,9
7,0,-44,-61,-58,-56,-62,9
8,0,-50,-57,-54,-55,-54,9
9,0,-50,-65,-60,-55,-54,9
10,0,-48,-78,-60,-59,-59,9
11,-60,-44,-55,-56,-55,-57,9
12,-60,-55,-71,-53,-53,-53,9
13,-60,-52,-56,-55,-56,-55,9
14,-66,-54,-54,-56,-55,-57,9
15,-55,-50,-58,-57,-55,-57,9
16,-55,-52,-56,-56,-55,-57,9
17,-55,-49,-59,-60,-58,-58,9
18,-57,-56,-59,-60,-54,-52,9
19,-57,-55,-49,-50,-52,-49,9
20,-57,-58,-50,-51,-50,-49,9
21,-57,-46,-60,-58,-61,-63,9
22,-62,-47,-56,-54,-55,-54,9
23,-62,-51,-52,-53,-51,-53,9
24,-62,-63,-50,-50,-49,-50,9
25,-62,-51,-50,-49,-49,-48,9
